Date,Open,High,Low,Last,Close,Volume
5-19-2011,228.751999,230.731003,226.328003,228.386002,199.661057,1010559
5-20-2011,228.554001,233.897003,227.783005,231.285004,202.195419,1204552
5-23-2011,229.147995,229.147995,222.143005,223.507996,195.396561,1419018
5-24-2011,222.815994,225.981995,220.046005,222.084,194.151657,1960551
5-25-2011,221.628998,225.585999,221.035004,224.300003,196.088959,1608655
5-26-2011,225.783997,231.513,225.783997,229.791,200.889343,2155853
5-27-2011,234.490997,234.490997,214.059998,215.425003,188.330185,8089906
5-30-2011,216.682007,218.304001,212.744003,213.347,186.513535,2349155
5-31-2011,214.108994,217.373993,213.039993,216.186996,188.996353,2559537
6-1-2011,216.820007,217.076996,212.772995,213.604004,186.738235,2045591
6-2-2011,211.733994,211.832993,206.589005,207.598999,181.488495,2647807
6-3-2011,207.766998,209.360001,200.899994,202.850006,177.336792,3183392
6-6-2011,200.811005,204.156006,199.860992,202.779999,177.275589,2188272
6-7-2011,201.445007,204.710007,201.078003,203.225006,177.664642,1688314
6-8-2011,202.513,206.490997,201.938995,203.503006,177.907654,1817946
6-9-2011,204.115997,204.115997,198.871994,201.968994,176.566589,2093332
6-10-2011,202.246002,202.779999,200.158005,201.791,176.410995,1939255
6-13-2011,200.830994,201.800995,198.891998,200.416,175.208923,1605836
6-14-2011,199.860992,200.059006,194.123001,194.716995,170.226685,2822946
6-15-2011,194.914001,197.268997,192.936005,196.576996,171.852753,3330969
6-16-2011,195.666,197.733994,194.153,194.815002,170.312393,2070010
6-17-2011,195.904007,196.399002,193.153,194.082993,169.672455,1094805
6-20-2011,195.013,195.072998,183.041,184.080002,160.927582,2589449
6-21-2011,185.613998,187.671997,184.229004,185.584,162.242386,2661901
6-22-2011,187.276001,187.276001,183.436996,185.158997,161.870865,1952976
6-23-2011,185.119003,188.186005,183.436996,187.009003,163.48819,1602414
6-24-2011,187.938995,192.203003,187.889999,190.886993,166.878433,1314567
6-27-2011,189.572006,194.479004,187.998001,193.391006,169.06749,1715830
6-28-2011,194.003998,195.992996,191.451004,194.567993,170.096436,1611020
6-29-2011,196.141006,200.445007,195.647003,197.447006,172.613358,2319491
6-30-2011,197.882996,198.772995,194.320999,196.595993,171.86937,1578961
7-1-2011,199.070007,199.445999,195.360001,196.794006,172.042496,1276251
